D:\College Docs\Assignments\برمجة هدفية\زهرة\Rivel\obj\Debug\Rivel.csproj.AssemblyReference.cache
D:\College Docs\Assignments\برمجة هدفية\زهرة\Rivel\obj\Debug\Rivel.csproj.CoreCompileInputs.cache
D:\College Docs\Assignments\برمجة هدفية\زهرة\Rivel\bin\Debug\Rivel.exe.config
D:\College Docs\Assignments\برمجة هدفية\زهرة\Rivel\bin\Debug\Rivel.exe
D:\College Docs\Assignments\برمجة هدفية\زهرة\Rivel\bin\Debug\Rivel.pdb
D:\College Docs\Assignments\برمجة هدفية\زهرة\Rivel\bin\Debug\Newtonsoft.Json.dll
D:\College Docs\Assignments\برمجة هدفية\زهرة\Rivel\bin\Debug\Newtonsoft.Json.xml
D:\College Docs\Assignments\برمجة هدفية\زهرة\Rivel\obj\Debug\Rivel.csproj.CopyComplete
D:\College Docs\Assignments\برمجة هدفية\زهرة\Rivel\obj\Debug\Rivel.exe
D:\College Docs\Assignments\برمجة هدفية\زهرة\Rivel\obj\Debug\Rivel.pdb
D:\College Docs\Assignments\برمجة هدفية\د زهرة\Rivel\bin\Debug\System.Threading.Tasks.Extensions.dll
D:\College Docs\Assignments\برمجة هدفية\د زهرة\Rivel\bin\Debug\ZstdSharp.dll
D:\College Docs\Assignments\برمجة هدفية\د زهرة\Rivel\bin\Debug\BouncyCastle.Crypto.xml
D:\College Docs\Assignments\برمجة هدفية\د زهرة\Rivel\bin\Debug\Google.Protobuf.pdb
D:\College Docs\Assignments\برمجة هدفية\د زهرة\Rivel\bin\Debug\Google.Protobuf.xml
D:\College Docs\Assignments\برمجة هدفية\د زهرة\Rivel\bin\Debug\K4os.Compression.LZ4.xml
D:\College Docs\Assignments\برمجة هدفية\د زهرة\Rivel\bin\Debug\K4os.Compression.LZ4.Streams.xml
D:\College Docs\Assignments\برمجة هدفية\د زهرة\Rivel\bin\Debug\K4os.Hash.xxHash.xml
D:\College Docs\Assignments\برمجة هدفية\د زهرة\Rivel\bin\Debug\Microsoft.Bcl.AsyncInterfaces.xml
D:\College Docs\Assignments\برمجة هدفية\د زهرة\Rivel\bin\Debug\MySql.Data.xml
D:\College Docs\Assignments\برمجة هدفية\د زهرة\Rivel\bin\Debug\System.Buffers.xml
D:\College Docs\Assignments\برمجة هدفية\د زهرة\Rivel\bin\Debug\System.Diagnostics.DiagnosticSource.xml
D:\College Docs\Assignments\برمجة هدفية\د زهرة\Rivel\bin\Debug\System.IO.Pipelines.xml
D:\College Docs\Assignments\برمجة هدفية\د زهرة\Rivel\bin\Debug\System.Memory.xml
D:\College Docs\Assignments\برمجة هدفية\د زهرة\Rivel\bin\Debug\System.Numerics.Vectors.xml
D:\College Docs\Assignments\برمجة هدفية\د زهرة\Rivel\bin\Debug\System.Runtime.CompilerServices.Unsafe.xml
D:\College Docs\Assignments\برمجة هدفية\د زهرة\Rivel\bin\Debug\System.Threading.Tasks.Extensions.xml
D:\College Docs\Assignments\برمجة هدفية\د زهرة\Rivel\bin\Debug\Assets\Amelie.wav
D:\College Docs\Assignments\برمجة هدفية\د زهرة\Rivel\bin\Debug\Assets\Error.wav
D:\College Docs\Assignments\برمجة هدفية\د زهرة\Rivel\bin\Debug\Assets\Success.wav
D:\College Docs\Assignments\برمجة هدفية\د زهرة\Rivel\bin\Debug\Assets\Warning.wav
